latitude,longitude,distance_km,topography_km,disturbance_mgal
13.0,-165.0,0.0,-4.161,23.008098298450932
13.082914572864322,-164.92964824120602,12.070042391610285,-4.747907142205257,21.18080674571515
13.165829145728644,-164.85929648241205,24.14008478322057,-5.452608118874633,18.099660627030353
13.248743718592966,-164.7889447236181,36.21012717483086,-5.58140241081032,14.372279616258147
13.331658291457286,-164.71859296482413,48.28016956644114,-5.43897833241297,10.606283387259817
13.454572864321608,-164.64824120603015,60.35021195805143,nan,7.409291613896966
13.414572864321608,-164.64824120603015,60.35021195805143,-5.252958893461991,7.409291613896966
13.49748743718593,-164.57788944723617,72.42025434966172,-5.25550796267153,5.8349718935179995
13.580402010050252,-164.5075376884422,84.49029674127199,-5.41325482886341,6.689038839962386
13.663316582914574,-164.43718592964825,96.56033913288228,-5.472177040767409,7.5271939750500385
13.746231155778894,-164.36683417085428,108.63038152449256,-5.453731255663725,8.576686860298656
13.829145728643216,-164.2964824120603,120.70042391610286,-5.47538741550913,9.522565956803518
13.912060301507537,-164.22613065326632,132.77046630771312,-5.537130352779944,8.962301056583268
13.99497487437186,-164.15577889447235,144.84050869932344,-5.562278965200799,8.126773085230479
14.077889447236181,-164.0854271356784,156.9105510909337,-5.5207893264943575,7.300695829791466
14.160804020100503,-164.01507537688443,168.98059348254398,-5.537767703518417,6.495206970868857
14.243718592964825,-163.94472361809045,181.05063587415427,-5.547591778539516,5.883384611203812
14.326633165829145,-163.87437185929647,193.12067826576455,-5.569793543752422,5.301562093934725
14.409547738693467,-163.8040201005025,205.19072065737487,-5.5822725377074365,3.7722502027308034
14.492462311557789,-163.73366834170855,217.26076304898513,-5.55866268930121,1.5070368453622986
14.575376884422111,-163.66331658291458,229.3308054405954,-5.529904916912694,-0.5045515325486342
14.658291457286433,-163.5929648241206,241.40084783220573,-5.543006408795488,-1.6002439368475616
14.741206030150753,-163.52261306532662,253.47089022381596,-5.577475977354135,-1.4539665632812222
14.824120603015075,-163.45226130653268,265.54093261542624,-5.595996338113526,0.6489036928226303
14.907035175879397,-163.3819095477387,277.61097500703653,-5.585437837465267,3.639655849358002
14.917035175879397,-163.3819095477387,277.61097500703653,-5.585437837465267,nan
14.927035175879397,-163.3819095477387,277.61097500703653,-5.585437837465267,nan
14.937035175879397,-163.3819095477387,277.61097500703653,-5.585437837465267,nan
14.947035175879397,-163.3819095477387,277.61097500703653,-5.585437837465267,nan
14.957035175879397,-163.3819095477387,277.61097500703653,-5.585437837465267,nan
14.989949748743719,-163.31155778894473,289.6810173986469,-5.346726250085069,11.145644409801362
15.07286432160804,-163.24120603015075,301.75105979025716,-5.451230214095105,13.885654354588775
15.155778894472363,-163.17085427135677,313.8211021818674,-5.487759162258502,12.97152398241347
15.238693467336685,-163.10050251256283,325.8911445734777,-5.454140670578843,10.87434944820588
15.321608040201005,-163.03015075376885,337.96118696508796,-5.543695417577299,8.070545319160553
15.404522613065327,-162.95979899497488,350.0312293566983,-5.6311354736784685,4.406803601514628
15.487437185929648,-162.8894472361809,362.10127174830853,-5.55037049082807,1.0331292487635442
15.57035175879397,-162.81909547738692,374.1713141399188,-5.5320769973670805,-0.16030986405313855
15.653266331658292,-162.74874371859298,386.2413565315291,-5.550060929495198,-0.7203348628573938
15.736180904522612,-162.678391959799,398.3113989231394,-5.547389222789455,-0.7738268485104461
15.819095477386934,-162.60804020100502,410.38144131474974,-5.573922325819176,-0.43859540835282923
15.902010050251256,-162.53768844221105,422.45148370635997,-5.576187722444443,0.15726390475994784
15.984924623115578,-162.46733668341707,434.52152609797025,-5.503007626552821,0.8619673449583375
16.0678391959799,-162.39698492462313,446.5915684895805,-4.860509721522153,1.9857900923426217
16.150753768844222,-162.32663316582915,458.6616108811908,-4.075703113851064,3.5608954736931797
16.233668341708544,-162.25628140703517,470.7316532728011,-4.990446917264569,4.680539012835174
16.316582914572866,-162.1859296482412,482.80169566441145,-5.461311903606459,2.5849918448531293
16.399497487437188,-162.11557788944722,494.8717380560217,-5.688246142331507,-1.3519878821857554
16.482412060301506,-162.04522613065328,506.9417804476319,-5.663146137021004,-4.231272184395468
16.565326633165828,-161.9748743718593,519.0118228392423,-5.574048763019924,-5.212116662756215
16.64824120603015,-161.90452261306532,531.0818652308525,-5.58121150345334,-4.80706261441262
16.731155778894472,-161.83417085427135,543.1519076224629,-5.616284656134301,-3.4650922513168583
16.814070351758794,-161.76381909547737,555.2219500140731,-5.629247067573911,-1.5125288880843994
16.896984924623116,-161.69346733668343,567.2919924056833,-5.578166831930802,0.7216632369072166
16.979899497487438,-161.62311557788945,579.3620347972937,-5.538037526790649,2.7762499890132672
17.06281407035176,-161.55276381909547,591.4320771889039,-5.542518791780546,4.088689381634999
17.06281407035176,-161.55276381909547,591.4320771889039,-5.542518791780546,4.088689381634999
17.14572864321608,-161.4824120603015,603.5021195805143,-5.54933973597384,4.73986656554904
17.228643216080403,-161.41206030150755,615.5721619721245,-5.557799355373785,4.694988860342947
17.311557788944725,-161.34170854271358,627.6422043637348,-5.582458846132419,4.160757950360614
17.394472361809044,-161.2713567839196,639.7122467553452,-5.5560902583012135,3.321095182546632
17.47738693467337,-161.20100502512562,651.7822891469553,-5.5466795273706575,2.5298616949755814
17.560301507537687,-161.13065326633165,663.8523315385656,-5.5364041086079885,2.0870087595818734
17.64321608040201,-161.0603015075377,675.9223739301759,-5.516853293358903,1.928342418594977
17.72613065326633,-160.98994974874373,687.9924163217862,-5.515591671649724,2.21482423295382
17.809045226130653,-160.91959798994975,700.0624587133966,-5.520061943624092,3.129462159196516
