RPC,Source,Description,Lithology,Vs [km/s],VpVs ratio,Rho [kg/m³]
100982,RPC,Olentangy Shale,shale,2.4586,1.5255,2690.8248
100068,RPC,Hard shale,shale,2.6278,1.5093,2626.5874
100738,RPC,Beijing Jurassic Shale,shale,2.2621,2.3246,2574.2032
100836,RPC,Kimmeridge Shale,shale,1.958,1.8739,2573.4981
100082,RPC,Hard shale,shale,2.6877,1.6404,2645.9719
100125,RPC,Shale,shale,1.49,2.0456,2377.0331
100436,RPC,Caney Shale,shale,1.0847,1.3744,2259.8269
101108,RPC,Oficina Dolomitized Shale,shale,3.024,1.7166,2734.5168
100129,RPC,Green River shale,shale,2.582,1.7057,2309.5991
100368,RPC,Bakken Formation,shale,2.4,1.6042,2495.4475
100977,RPC,Olentangy Shale,shale,2.2527,1.4374,2649.9338
101004,RPC,Brown Gas Shale,shale,2.7386,1.7245,2526.3606
100963,RPC,Marcellus Black Shale,shale,2.3448,1.6151,2491.1918
100986,RPC,Olentangy Shale,shale,2.6766,1.6755,2641.3353
101007,RPC,Brown Gas Shale,shale,2.9448,1.7216,2545
101055,RPC,Shale 2 (Density is assumed constant),shale,1.6648,1.8287,2614.1916
100985,RPC,Olentangy Shale,shale,2.6274,1.644,2726.3571
100739,RPC,Beijing Jurassic Shale,shale,2.2761,2.3375,2594.0664
101050,RPC,Shale 2 (Density is assumed constant),shale,1.6241,1.7788,2564.9613
100965,RPC,Marcellus Black Shale,shale,2.3952,1.6372,2552.1129
100077,RPC,Hard shale,shale,2.2768,1.666,2599.9851
100046,RPC,Shale,shale,1.341,1.7084,2275.3504
100816,RPC,Woodford Shale,shale,1.562,1.831,2279.9005
100814,RPC,Woodford Shale,shale,1.65,1.8061,2065.8112
100035,RPC,Shale,shale,1.5726,2.0572,2518.2298
100033,RPC,Shale,shale,1.7495,1.9675,2444.8802
100058,RPC,Shale,shale,1.379,1.9876,2464.7528
100031,RPC,Shale,shale,1.6033,1.9951,2401
101005,RPC,Brown Gas Shale,shale,2.8777,1.6654,2548.3662
101013,RPC,Gray Shale,shale,2.4898,1.6165,2759.57
100120,RPC,Wills Point shale,shale,2.38,1.7353,2635.4987
100964,RPC,Marcellus Black Shale,shale,2.3617,1.6323,2528.8584
100599,RPC,Laminated Mudstone,shale,1.342,2.2675,2479.5697
100732,RPC,Beijing Jurassic Shale,shale,1.9439,2.569,2507.0222
101056,RPC,Shale 2 (Density is assumed constant),shale,1.6444,1.839,2634.9211
101045,RPC,Shale 2 (Density is assumed constant),shale,1.5667,1.8156,2634.3678
100817,RPC,Woodford Shale,shale,1.492,1.6971,2223.3131
100837,RPC,Kimmeridge Shale,shale,1.996,1.8717,2570.0069
101100,RPC,Oficina Sandy Shale,shale,2.02,1.5441,2355.3037
100101,RPC,Mesaverde clayshale,shale,2.074,1.8293,2541.7046
100833,RPC,Kimmeridge Shale,shale,1.863,1.8658,2637.6569
100034,RPC,Shale,shale,1.5316,2.0358,2501.2963
100972,RPC,Marcellus Black Shale,shale,2.7002,1.768,2546.2404
101053,RPC,Shale 2 (Density is assumed constant),shale,1.6556,1.8993,2613.2435
100825,RPC,Jurassic Shale (Table 7.2) Outcrop,shale,1.401,2.142,2531.1663
101097,RPC,Oficina Sandy Shale,shale,1.936,1.4509,2343
100080,RPC,Hard shale,shale,2.6603,1.6035,2580.9785
100121,RPC,Cotton Valley Shale,shale,2.89,1.6336,2650.7707
101104,RPC,Oficina Sandy Shale,shale,2.127,1.6117,2418.4607
100071,RPC,Hard shale,shale,2.496,1.4939,2635.3609
100390,RPC,Alberta Shale,shale,2.6,1.5,2646
101111,RPC,Oficina Dolomitized Shale,shale,3.04,1.725,2754
100411,RPC,Tight gas shale,shale,2.124,1.588,2382.6978
100989,RPC,Olentangy Shale,shale,2.7657,1.7544,2690.9856
101014,RPC,Gray Shale,shale,2.5557,1.6243,2683.8199
100362,RPC,Bakken Formation,shale,2.12,1.5943,2224.39
100067,RPC,Hard shale,shale,2.5795,1.4939,2644.3748
100834,RPC,Kimmeridge Shale,shale,1.895,1.8744,2595.8612
100040,RPC,Shale,shale,2.0484,1.8245,2595.1482
101011,RPC,Gray Shale,shale,2.3916,1.6044,2713.8711
100078,RPC,Hard shale,shale,2.2887,1.6951,2540.2663
100991,RPC,Olentangy Shale,shale,2.8258,1.7773,2688.5843
101109,RPC,Oficina Dolomitized Shale,shale,3.031,1.7179,2773.4085
100996,RPC,Brown Gas Shale,shale,2.4044,1.5531,2523.5462
100422,RPC,Tight gas shale,shale,2.382,1.6524,2586
101099,RPC,Oficina Sandy Shale,shale,1.987,1.5113,2406.5545
100045,RPC,Shale,shale,1.6993,1.9856,2504.5083
100061,RPC,Shale,shale,1.4243,2.0651,2466
100737,RPC,Beijing Jurassic Shale,shale,2.2192,2.3512,2587.7661
101098,RPC,Oficina Sandy Shale,shale,1.954,1.4734,2359.8972
100971,RPC,Marcellus Black Shale,shale,2.648,1.7613,2483.5251
100366,RPC,Bakken Formation,shale,2.52,1.6706,2575.4865
100437,RPC,Woodford,shale,2.4616,1.4907,2532.1394
100597,RPC,Laminated Mudstone,shale,1.459,2.1014,2544.0304
100048,RPC,Shale,shale,1.4023,1.7181,2269.7165
100059,RPC,Shale,shale,1.3952,2.0162,2433.4372
101101,RPC,Oficina Sandy Shale,shale,2.048,1.5669,2412.7781
100097,RPC,Mesaverde clayshale,shale,2.055,1.9114,2584.5261
100980,RPC,Olentangy Shale,shale,2.3815,1.539,2667.8775
100598,RPC,Lenticular & Laminated Mudstone,shale,1.721,2.0006,2486
100365,RPC,Bakken Formation,shale,1.86,1.7688,2397.1194
100105,RPC,Mesaverde mudshale,shale,2.998,1.6921,2682.3098
100147,RPC,Anisotropic shale,shale,1.508,1.8203,2321.0121
100962,RPC,Marcellus Black Shale,shale,2.3019,1.6292,2545.7079
100835,RPC,Kimmeridge Shale,shale,1.928,1.8683,2613.4084
100420,RPC,Tight gas shale,shale,2.14,1.6879,2469.0523
100979,RPC,Olentangy Shale,shale,2.334,1.517,2646
100438,RPC,Woodford,shale,2.4843,1.4097,2588.3374
101058,RPC,Shale 2 (Density is assumed constant),shale,1.7111,1.7987,2622.1732
100060,RPC,Shale,shale,1.4099,2.0342,2440.6804
100069,RPC,Hard shale,shale,2.6559,1.5315,2615.2963
100064,RPC,Hard shale,shale,2.3956,1.5817,2643.0683
100997,RPC,Brown Gas Shale,shale,2.4044,1.5918,2535.7486
100826,RPC,Jurassic Shale (Table 7.2) Outcrop,shale,1.52,2.0526,2494.1752
100238,RPC,Jurassic North Sea Shale,shale,1.66,1.9855,2456.8693
100838,RPC,Kimmeridge Shale,shale,2.02,1.8698,2615.4721
101112,RPC,Oficina Dolomitized Shale,shale,3.047,1.7286,2807.0509
100076,RPC,Hard shale,shale,2.2647,1.6352,2555.3219
100410,RPC,Tight gas shale,shale,2.307,1.5306,2422.1809
101001,RPC,Brown Gas Shale,shale,2.5617,1.6673,2523.8806
100973,RPC,Marcellus Black Shale,shale,2.7368,1.782,2473.8237
100815,RPC,Woodford Shale,shale,1.61,1.8025,2151
100828,RPC,Jurassic Shale (Table 7.2) Outcrop,shale,1.762,1.9501,2473.8318
101062,RPC,Shale 2 (Density is assumed constant),shale,1.8778,1.8462,2615.9727
100364,RPC,Bakken Formation,shale,2.03,1.7291,2373.3542
100032,RPC,Shale,shale,1.6866,1.9927,2359.5803
100367,RPC,Bakken Formation,shale,2.25,1.6533,2392.4133
101102,RPC,Oficina Sandy Shale,shale,2.076,1.5853,2381.4508
100984,RPC,Olentangy Shale,shale,2.5699,1.6051,2666.3869
100425,RPC,Tight gas shale,shale,2.168,1.6315,2441.5336
100036,RPC,Shale,shale,1.62,2.0458,2493.7917
100418,RPC,Tight gas shale,shale,2.104,1.5276,2418.5508
100092,RPC,Mesaverde mudshale,shale,2.703,1.6755,2552.6567
101103,RPC,Oficina Sandy Shale,shale,2.103,1.5982,2354.1588
100394,RPC,Nahr Umr Shale,shale,1.622,2.5635,2587.7259
100057,RPC,Shale,shale,1.5789,2.124,2479.1131
100416,RPC,Tight gas shale,shale,2.314,1.522,2395.6102
100818,RPC,Woodford Shale,shale,1.571,1.6645,2217.2038
101016,RPC,Gray Shale,shale,2.7098,1.6149,2728.1898
101019,RPC,Gray Shale,shale,2.8557,1.627,2691.3528
100831,RPC,Kimmeridge Shale,shale,1.706,1.9027,2601.4657
100433,RPC,Barnett Shale,shale,1.6802,1.446,2345.1165
100043,RPC,Shale,shale,1.6062,2.0065,2543.3064
100987,RPC,Olentangy Shale,shale,2.7318,1.6897,2678.9803
100053,RPC,Shale,shale,1.4948,1.6926,2335
100832,RPC,Kimmeridge Shale,shale,1.811,1.873,2594.3647
100990,RPC,Olentangy Shale,shale,2.7859,1.7664,2659.6142
100551,RPC,NW Shelf Australia Shale,shale,2.25,1.3693,2406.3008
100065,RPC,Hard shale,shale,2.4092,1.5936,2597.6421
101042,RPC,Shale 2 (Density is assumed constant),shale,1.5556,1.8857,2637.7557
100970,RPC,Marcellus Black Shale,shale,2.6253,1.727,2538.4
100081,RPC,Hard shale,shale,2.6755,1.6199,2574.8707
100042,RPC,Shale,shale,2.1699,1.8028,2584
101010,RPC,Gray Shale,shale,2.3605,1.5988,2677
101003,RPC,Brown Gas Shale,shale,2.6369,1.7498,2584.0208
